"RESULT_ID","RULE_ID","EXECUTION_DATE","TARGET_TABLE","TARGET_COLUMN","TOTAL_RECORDS","PASSED_RECORDS","FAILED_RECORDS","PASS_RATE","STATUS","ERROR_SAMPLE","CREATED_AT"
"RES-015","DQR-048","2025-01-15 08:05:00.000","POLICIES","CUSTOMER_ID",300,280,20,93.3,"FAIL","20 policies reference non-existent customer IDs","2026-09-08 22:18:44.555"
"RES-016","DQR-007","2025-01-15 08:10:00.000","CLAIMS","CLAIM_AMOUNT",400,400,0,100,"PASS",,"2026-09-08 22:18:44.555"
"RES-017","DQR-008","2025-01-15 08:10:00.000","CLAIMS","CLAIM_STATUS",400,400,0,100,"PASS",,"2026-09-08 22:18:44.555"
"RES-018","DQR-009","2025-01-15 08:10:00.000","CLAIMS","RESOLUTION_DATE",400,385,15,96.3,"FAIL","15 claims with resolution_date before claim_date","2026-09-08 22:18:44.555"
"RES-019","DQR-010","2025-01-15 08:10:00.000","CLAIMS","CLAIM_DATE",400,400,0,100,"PASS",,"2026-09-08 22:18:44.555"
"RES-020","DQR-032","2025-01-15 08:10:00.000","CLAIMS","APPROVED_AMOUNT",400,370,30,92.5,"FAIL","30 claims where approved > claimed amount","2026-09-08 22:18:44.555"
"RES-021","DQR-049","2025-01-15 08:10:00.000","CLAIMS","POLICY_ID",400,360,40,90,"FAIL","40 claims reference non-existent policy IDs","2026-09-08 22:18:44.555"
"RES-022","DQR-046","2025-01-15 08:10:00.000","CLAIMS","CREATED_AT",400,380,20,95,"PASS","20 records older than 24hrs since last update","2026-09-08 22:18:44.555"
"RES-023","DQR-023","2025-01-15 08:15:00.000","BILLING","AMOUNT_DUE",500,500,0,100,"PASS",,"2026-09-08 22:18:44.555"
"RES-024","DQR-025","2025-01-15 08:15:00.000","BILLING","DUE_DATE",500,475,25,95,"FAIL","25 records where due_date < invoice_date","2026-09-08 22:18:44.555"
"RES-025","DQR-039","2025-01-15 08:15:00.000","BILLING","OUTSTANDING_BALANCE",500,500,0,100,"PASS",,"2026-09-08 22:18:44.555"
"RES-026","DQR-028","2025-01-15 08:20:00.000","AT_RISK_POLICIES","RISK_SCORE",165,165,0,100,"PASS",,"2026-09-08 22:18:44.555"
"RES-027","DQR-029","2025-01-15 08:20:00.000","AT_RISK_POLICIES","REVENUE_AT_RISK",165,165,0,100,"PASS",,"2026-09-08 22:18:44.555"
"RES-028","DQR-042","2025-01-15 08:20:00.000","AT_RISK_POLICIES","DAYS_SINCE_CONTACT",165,155,10,93.9,"FAIL","10 records with DAYS_SINCE_CONTACT = 0 or negative","2026-09-08 22:18:44.555"
"RES-029","DQR-001","2025-01-08 08:00:00.000","CUSTOMERS","CUSTOMER_ID",200,200,0,100,"PASS",,"2026-09-08 22:18:44.555"
"RES-030","DQR-005","2025-01-08 08:00:00.000","CUSTOMERS","EMAIL",200,194,6,97,"PASS","6 malformed emails","2026-09-08 22:18:44.555"
"RES-031","DQR-011","2025-01-08 08:00:00.000","CUSTOMERS","STATE",200,190,10,95,"PASS","10 non-standard codes","2026-09-08 22:18:44.555"
"RES-032","DQR-027","2025-01-08 08:00:00.000","CUSTOMERS","ZIP_CODE",200,185,15,92.5,"FAIL","15 invalid zip codes","2026-09-08 22:18:44.555"
"RES-033","DQR-013","2025-01-08 08:05:00.000","POLICIES","COVERAGE_AMOUNT",300,292,8,97.3,"PASS","8 coverage issues","2026-09-08 22:18:44.555"
"RES-034","DQR-048","2025-01-08 08:05:00.000","POLICIES","CUSTOMER_ID",300,290,10,96.7,"PASS","10 orphan references","2026-09-08 22:18:44.555"
"RES-035","DQR-009","2025-01-08 08:10:00.000","CLAIMS","RESOLUTION_DATE",400,392,8,98,"PASS","8 date logic issues","2026-09-08 22:18:44.555"
"RES-036","DQR-032","2025-01-08 08:10:00.000","CLAIMS","APPROVED_AMOUNT",400,385,15,96.3,"FAIL","15 over-approved claims","2026-09-08 22:18:44.555"
"RES-037","DQR-049","2025-01-08 08:10:00.000","CLAIMS","POLICY_ID",400,378,22,94.5,"FAIL","22 orphan claim references","2026-09-08 22:18:44.555"
"RES-038","DQR-025","2025-01-08 08:15:00.000","BILLING","DUE_DATE",500,488,12,97.6,"PASS","12 date logic issues","2026-09-08 22:18:44.555"
"RES-039","DQR-001","2025-01-01 08:00:00.000","CUSTOMERS","CUSTOMER_ID",200,200,0,100,"PASS",,"2026-09-08 22:18:44.555"
"RES-040","DQR-005","2025-01-01 08:00:00.000","CUSTOMERS","EMAIL",200,196,4,98,"PASS","4 malformed emails","2026-09-08 22:18:44.555"
