"RULE_ID","RULE_NAME","RULE_DESCRIPTION","TARGET_TABLE","TARGET_COLUMN","RULE_TYPE","RULE_EXPRESSION","SEVERITY","IS_CRITICAL","THRESHOLD_PCT","ACTIVE_FLAG","CREATED_AT"
"DQR-029","REVENUE_RISK_POSITIVE","Revenue at risk must be positive","AT_RISK_POLICIES","REVENUE_AT_RISK","Accuracy","REVENUE_AT_RISK > 0","High",true,100,true,"2026-09-08 22:18:11.817"
"DQR-030","CHURN_PROB_RANGE","Churn probability between 0 and 1","AT_RISK_POLICIES","CHURN_PROBABILITY","Range","CHURN_PROBABILITY BETWEEN 0 AND 1","Medium",false,100,true,"2026-09-08 22:18:11.817"
"DQR-031","NOT_NULL_CLAIM_TYPE","Claim type must not be null","CLAIMS","CLAIM_TYPE","Completeness","CLAIM_TYPE IS NOT NULL","High",true,100,true,"2026-09-08 22:18:11.817"
"DQR-032","APPROVED_LTE_CLAIMED","Approved amount cannot exceed claimed","CLAIMS","APPROVED_AMOUNT","Consistency","APPROVED_AMOUNT IS NULL OR APPROVED_AMOUNT <= CLAIM_AMOUNT","High",true,95,true,"2026-09-08 22:18:11.817"
"DQR-033","VALID_PRIORITY","Priority must be High/Medium/Low","CLAIMS","PRIORITY","Validity","PRIORITY IN ('High','Medium','Low')","Low",false,100,true,"2026-09-08 22:18:11.817"
"DQR-034","VALID_PLAN_TIER","Plan tier must be valid","POLICIES","PLAN_TIER","Validity","PLAN_TIER IN ('Bronze','Silver','Gold','Platinum')","Medium",false,100,true,"2026-09-08 22:18:11.817"
"DQR-035","VALID_PAYMENT_FREQ","Payment frequency must be valid","POLICIES","PAYMENT_FREQUENCY","Validity","PAYMENT_FREQUENCY IN ('Monthly','Quarterly','Annual')","Low",false,100,true,"2026-09-08 22:18:11.817"
"DQR-036","DEDUCTIBLE_LT_COVERAGE","Deductible less than coverage","POLICIES","DEDUCTIBLE","Consistency","DEDUCTIBLE < COVERAGE_AMOUNT","Critical",true,100,true,"2026-09-08 22:18:11.817"
"DQR-037","CUSTOMER_AGE_VALID","Customer not older than 100","CUSTOMERS","DATE_OF_BIRTH","Range","DATEDIFF(YEAR, DATE_OF_BIRTH, CURRENT_DATE()) <= 100","Low",false,100,true,"2026-09-08 22:18:11.817"
"DQR-038","NOT_NULL_INVOICE_DATE","Invoice date must not be null","BILLING","INVOICE_DATE","Completeness","INVOICE_DATE IS NOT NULL","High",true,100,true,"2026-09-08 22:18:11.817"
"DQR-039","BALANCE_NON_NEGATIVE","Outstanding balance non-negative","BILLING","OUTSTANDING_BALANCE","Accuracy","OUTSTANDING_BALANCE >= 0","High",true,100,true,"2026-09-08 22:18:11.817"
"DQR-040","LATE_FEE_NON_NEGATIVE","Late fee must be non-negative","BILLING","LATE_FEE","Accuracy","LATE_FEE >= 0","Medium",false,100,true,"2026-09-08 22:18:11.817"
"DQR-041","NOT_NULL_RISK_CATEGORY","Risk category must not be null","AT_RISK_POLICIES","RISK_CATEGORY","Completeness","RISK_CATEGORY IS NOT NULL","High",true,100,true,"2026-09-08 22:18:11.817"
"DQR-042","DAYS_SINCE_CONTACT_POS","Days since contact must be positive","AT_RISK_POLICIES","DAYS_SINCE_CONTACT","Accuracy","DAYS_SINCE_CONTACT > 0","Medium",false,100,true,"2026-09-08 22:18:11.817"
"DQR-043","MISSED_PAYMENTS_RANGE","Missed payments 0-12","AT_RISK_POLICIES","MISSED_PAYMENTS","Range","MISSED_PAYMENTS BETWEEN 0 AND 12","Low",false,100,true,"2026-09-08 22:18:11.817"
"DQR-044","VALID_REGION","Region must be valid","AGENTS","REGION","Validity","REGION IN ('Northeast','Southeast','Midwest','Southwest','West')","Low",false,100,true,"2026-09-08 22:18:11.817"
"DQR-045","NOT_NULL_LICENSE","License number must not be null","AGENTS","LICENSE_NUMBER","Completeness","LICENSE_NUMBER IS NOT NULL","High",true,100,true,"2026-09-08 22:18:11.817"
"DQR-046","TIMELINESS_CLAIM_DATA","Claims data updated within 24hrs","CLAIMS","CREATED_AT","Timeliness","DATEDIFF(HOUR, CREATED_AT, CURRENT_TIMESTAMP()) <= 24","High",false,95,true,"2026-09-08 22:18:11.817"
"DQR-047","UNIQUE_CUSTOMER_EMAIL","Email must be unique per customer","CUSTOMERS","EMAIL","Uniqueness","COUNT(DISTINCT CUSTOMER_ID) = COUNT(DISTINCT EMAIL)","Medium",false,99,true,"2026-09-08 22:18:11.817"
"DQR-048","FK_POLICY_CUSTOMER","Policy must reference valid customer","POLICIES","CUSTOMER_ID","Referential","CUSTOMER_ID IN (SELECT CUSTOMER_ID FROM CUSTOMERS)","Critical",true,100,true,"2026-09-08 22:18:11.817"
"DQR-049","FK_CLAIM_POLICY","Claim must reference valid policy","CLAIMS","POLICY_ID","Referential","POLICY_ID IN (SELECT POLICY_ID FROM POLICIES)","Critical",true,100,true,"2026-09-08 22:18:11.817"
"DQR-050","DOCUMENT_HAS_CONTENT","Document must have content text","POLICY_DOCUMENTS","CONTENT_TEXT","Completeness","CONTENT_TEXT IS NOT NULL AND LENGTH(CONTENT_TEXT) > 0","High",true,100,true,"2026-09-08 22:18:11.817"
