"CLAIM_ID","POLICY_ID","CUSTOMER_ID","CLAIM_DATE","CLAIM_TYPE","CLAIM_STATUS","CLAIM_AMOUNT","APPROVED_AMOUNT","FRAUD_FLAG","FRAUD_SCORE","ASSIGNED_ADJUSTER","RESOLUTION_DATE","DAYS_TO_RESOLVE","FRICTION_POINT","PRIORITY","CREATED_AT"
"CLM-00053","POL-00259","CUST-00152","2026-02-08","Natural Disaster","Escalated",70333.00,,false,0.13,"Robert Taylor",,,"Investigation required","Low","2026-09-08 22:19:51.793"
"CLM-00054","POL-00228","CUST-00079","2026-03-18","Accident","Open",72874.00,,false,0.44,"Amanda Martinez",,,"Customer unresponsive","High","2026-09-08 22:19:51.793"
"CLM-00055","POL-00064","CUST-00026","2026-06-19","Theft","Under Investigation",50191.00,,false,0.15,"Christopher Lee",,,"System processing delay","Medium","2026-09-08 22:19:51.793"
"CLM-00056","POL-00207","CUST-00191","2026-06-14","Medical","Approved",48338.00,33146.00,false,0.38,"Sarah Johnson","2026-08-21",17,"Missing documentation","Low","2026-09-08 22:19:51.793"
"CLM-00057","POL-00091","CUST-00046","2026-08-04","Property Damage","Closed",60952.00,41595.00,false,0.15,"Michael Chen","2026-08-20",36,"Adjuster backlog","High","2026-09-08 22:19:51.793"
"CLM-00058","POL-00141","CUST-00044","2026-02-12","Liability","Denied",67560.00,,false,0.32,"Emily Rodriguez","2026-08-21",37,"Third-party delay","Medium","2026-09-08 22:19:51.793"
"CLM-00059","POL-00170","CUST-00124","2025-09-16","Natural Disaster","Escalated",26733.00,,false,0.09,"David Kim",,,"Policy verification pending","Low","2026-09-08 22:19:51.793"
"CLM-00060","POL-00287","CUST-00142","2026-01-23","Accident","Open",49142.00,,true,0.81,"Jessica Williams",,,"Medical records awaited","High","2026-09-08 22:19:51.793"
"CLM-00061","POL-00125","CUST-00093","2026-08-12","Theft","Under Investigation",56863.00,,false,0.22,"Robert Taylor",,,"Investigation required","Medium","2026-09-08 22:19:51.793"
"CLM-00062","POL-00027","CUST-00035","2025-09-08","Medical","Approved",17130.00,42037.00,true,0.65,"Amanda Martinez","2026-08-20",2,"Customer unresponsive","Low","2026-09-08 22:19:51.793"
"CLM-00063","POL-00031","CUST-00043","2026-09-01","Property Damage","Closed",40087.00,6657.00,false,0.19,"Christopher Lee","2026-08-31",16,"System processing delay","High","2026-09-08 22:19:51.793"
"CLM-00064","POL-00208","CUST-00101","2026-02-21","Liability","Denied",50981.00,,false,0.23,"Sarah Johnson","2026-08-30",17,"Missing documentation","Medium","2026-09-08 22:19:51.793"
"CLM-00065","POL-00077","CUST-00126","2026-08-17","Natural Disaster","Escalated",5501.00,,false,0.34,"Michael Chen",,,"Adjuster backlog","Low","2026-09-08 22:19:51.793"
"CLM-00066","POL-00106","CUST-00186","2026-02-15","Accident","Open",43263.00,,false,0.52,"Emily Rodriguez",,,"Third-party delay","High","2026-09-08 22:19:51.793"
"CLM-00067","POL-00134","CUST-00062","2026-08-21","Theft","Under Investigation",2141.00,,false,0.27,"David Kim",,,"Policy verification pending","Medium","2026-09-08 22:19:51.793"
"CLM-00068","POL-00238","CUST-00118","2026-08-30","Medical","Approved",73664.00,51765.00,false,0.54,"Jessica Williams","2026-08-09",3,"Medical records awaited","Low","2026-09-08 22:19:51.793"
"CLM-00069","POL-00177","CUST-00070","2026-09-01","Property Damage","Closed",61628.00,14974.00,false,0.49,"Robert Taylor","2026-08-11",30,"Investigation required","High","2026-09-08 22:19:51.793"
"CLM-00070","POL-00158","CUST-00096","2026-06-23","Liability","Denied",31525.00,,false,0.32,"Amanda Martinez","2026-08-19",18,"Customer unresponsive","Medium","2026-09-08 22:19:51.793"
"CLM-00071","POL-00217","CUST-00115","2026-05-30","Natural Disaster","Escalated",20145.00,,false,0.29,"Christopher Lee",,,"System processing delay","Low","2026-09-08 22:19:51.793"
"CLM-00072","POL-00099","CUST-00055","2025-11-01","Accident","Open",54438.00,,false,0.27,"Sarah Johnson",,,"Missing documentation","High","2026-09-08 22:19:51.793"
"CLM-00073","POL-00257","CUST-00074","2025-12-23","Theft","Under Investigation",41647.00,,false,0.29,"Michael Chen",,,"Adjuster backlog","Medium","2026-09-08 22:19:51.793"
"CLM-00074","POL-00264","CUST-00093","2026-05-05","Medical","Approved",10570.00,14814.00,false,0.19,"Emily Rodriguez","2026-08-31",28,"Third-party delay","Low","2026-09-08 22:19:51.793"
"CLM-00075","POL-00213","CUST-00086","2026-07-12","Property Damage","Closed",2222.00,1722.00,false,0.5,"David Kim","2026-08-24",38,"Policy verification pending","High","2026-09-08 22:19:51.793"
"CLM-00076","POL-00261","CUST-00095","2025-12-04","Liability","Denied",37198.00,,false,0.35,"Jessica Williams","2026-08-22",9,"Medical records awaited","Medium","2026-09-08 22:19:51.793"
"CLM-00077","POL-00024","CUST-00009","2026-02-01","Natural Disaster","Escalated",34199.00,,false,0.17,"Robert Taylor",,,"Investigation required","Low","2026-09-08 22:19:51.793"
"CLM-00078","POL-00227","CUST-00067","2025-09-20","Accident","Open",58308.00,,false,0.25,"Amanda Martinez",,,"Customer unresponsive","High","2026-09-08 22:19:51.793"
"CLM-00079","POL-00217","CUST-00182","2026-05-12","Theft","Under Investigation",50026.00,,false,0.3,"Christopher Lee",,,"System processing delay","Medium","2026-09-08 22:19:51.793"
"CLM-00080","POL-00289","CUST-00097","2025-12-09","Medical","Approved",33204.00,8904.00,false,0.36,"Sarah Johnson","2026-08-25",10,"Missing documentation","Low","2026-09-08 22:19:51.793"
"CLM-00081","POL-00042","CUST-00071","2026-08-17","Property Damage","Closed",62337.00,57203.00,false,0.39,"Michael Chen","2026-08-23",17,"Adjuster backlog","High","2026-09-08 22:19:51.793"
"CLM-00082","POL-00091","CUST-00161","2026-04-17","Liability","Denied",55296.00,,false,0.4,"Emily Rodriguez","2026-08-22",3,"Third-party delay","Medium","2026-09-08 22:19:51.793"
"CLM-00083","POL-00298","CUST-00017","2026-03-20","Natural Disaster","Escalated",27628.00,,false,0.25,"David Kim",,,"Policy verification pending","Low","2026-09-08 22:19:51.793"
"CLM-00084","POL-00039","CUST-00177","2026-05-30","Accident","Open",60639.00,,false,0.02,"Jessica Williams",,,"Medical records awaited","High","2026-09-08 22:19:51.793"
"CLM-00085","POL-00237","CUST-00175","2026-08-04","Theft","Under Investigation",52554.00,,false,0.39,"Robert Taylor",,,"Investigation required","Medium","2026-09-08 22:19:51.793"
"CLM-00086","POL-00142","CUST-00060","2026-03-11","Medical","Approved",69839.00,38298.00,false,0.24,"Amanda Martinez","2026-09-04",17,"Customer unresponsive","Low","2026-09-08 22:19:51.793"
"CLM-00087","POL-00235","CUST-00130","2026-05-10","Property Damage","Closed",57829.00,37494.00,false,0.31,"Christopher Lee","2026-08-15",25,"System processing delay","High","2026-09-08 22:19:51.793"
"CLM-00088","POL-00148","CUST-00071","2026-04-15","Liability","Denied",72947.00,,false,0.36,"Sarah Johnson","2026-08-15",24,"Missing documentation","Medium","2026-09-08 22:19:51.793"
"CLM-00089","POL-00265","CUST-00033","2026-04-07","Natural Disaster","Escalated",22374.00,,false,0.53,"Michael Chen",,,"Adjuster backlog","Low","2026-09-08 22:19:51.793"
"CLM-00090","POL-00073","CUST-00185","2026-05-25","Accident","Open",31392.00,,true,0.77,"Emily Rodriguez",,,"Third-party delay","High","2026-09-08 22:19:51.793"
"CLM-00091","POL-00019","CUST-00113","2025-10-14","Theft","Under Investigation",27686.00,,false,0.48,"David Kim",,,"Policy verification pending","Medium","2026-09-08 22:19:51.793"
"CLM-00092","POL-00293","CUST-00051","2026-06-04","Medical","Approved",69246.00,11618.00,false,0.43,"Jessica Williams","2026-08-19",13,"Medical records awaited","Low","2026-09-08 22:19:51.793"
"CLM-00093","POL-00020","CUST-00082","2026-06-14","Property Damage","Closed",35126.00,8391.00,false,0.18,"Robert Taylor","2026-08-13",3,"Investigation required","High","2026-09-08 22:19:51.793"
"CLM-00094","POL-00150","CUST-00001","2026-08-25","Liability","Denied",17008.00,,false,0.34,"Amanda Martinez","2026-09-01",21,"Customer unresponsive","Medium","2026-09-08 22:19:51.793"
"CLM-00095","POL-00005","CUST-00180","2026-03-29","Natural Disaster","Escalated",55567.00,,false,0.06,"Christopher Lee",,,"System processing delay","Low","2026-09-08 22:19:51.793"
"CLM-00096","POL-00244","CUST-00190","2025-09-28","Accident","Open",62888.00,,false,0.2,"Sarah Johnson",,,"Missing documentation","High","2026-09-08 22:19:51.793"
"CLM-00097","POL-00055","CUST-00016","2026-03-09","Theft","Under Investigation",10738.00,,false,0.04,"Michael Chen",,,"Adjuster backlog","Medium","2026-09-08 22:19:51.793"
"CLM-00098","POL-00018","CUST-00012","2025-11-28","Medical","Approved",58016.00,43302.00,false,0.1,"Emily Rodriguez","2026-08-16",40,"Third-party delay","Low","2026-09-08 22:19:51.793"
"CLM-00099","POL-00269","CUST-00011","2026-05-18","Property Damage","Closed",62822.00,57728.00,false,0.08,"David Kim","2026-08-21",37,"Policy verification pending","High","2026-09-08 22:19:51.793"
"CLM-00100","POL-00186","CUST-00049","2026-07-28","Liability","Denied",50041.00,,false,0.02,"Jessica Williams","2026-09-01",41,"Medical records awaited","Medium","2026-09-08 22:19:51.793"
"CLM-00101","POL-00294","CUST-00116","2025-09-27","Natural Disaster","Escalated",68336.00,,false,0.03,"Robert Taylor",,,"Investigation required","Low","2026-09-08 22:19:51.793"
"CLM-00102","POL-00254","CUST-00185","2026-01-09","Accident","Open",74901.00,,false,0.09,"Amanda Martinez",,,"Customer unresponsive","High","2026-09-08 22:19:51.793"
"CLM-00103","POL-00088","CUST-00140","2026-05-17","Theft","Under Investigation",62892.00,,true,0.78,"Christopher Lee",,,"System processing delay","Medium","2026-09-08 22:19:51.793"
"CLM-00104","POL-00270","CUST-00148","2025-09-10","Medical","Approved",35945.00,49212.00,true,0.68,"Sarah Johnson","2026-08-29",1,"Missing documentation","Low","2026-09-08 22:19:51.793"
"CLM-00105","POL-00007","CUST-00093","2025-12-27","Property Damage","Closed",17052.00,17223.00,false,0.18,"Michael Chen","2026-08-11",23,"Adjuster backlog","High","2026-09-08 22:19:51.793"
"CLM-00106","POL-00021","CUST-00133","2025-12-22","Liability","Denied",70548.00,,false,0.05,"Emily Rodriguez","2026-08-31",30,"Third-party delay","Medium","2026-09-08 22:19:51.793"
"CLM-00107","POL-00089","CUST-00083","2026-04-11","Natural Disaster","Escalated",61927.00,,false,0.47,"David Kim",,,"Policy verification pending","Low","2026-09-08 22:19:51.793"
"CLM-00108","POL-00256","CUST-00004","2025-11-27","Accident","Open",45304.00,,false,0.21,"Jessica Williams",,,"Medical records awaited","High","2026-09-08 22:19:51.793"
"CLM-00109","POL-00057","CUST-00102","2026-08-10","Theft","Under Investigation",12361.00,,false,0.37,"Robert Taylor",,,"Investigation required","Medium","2026-09-08 22:19:51.793"
"CLM-00110","POL-00076","CUST-00146","2026-04-04","Medical","Approved",67076.00,21588.00,false,0.08,"Amanda Martinez","2026-08-29",39,"Customer unresponsive","Low","2026-09-08 22:19:51.793"
"CLM-00111","POL-00060","CUST-00032","2026-02-16","Property Damage","Closed",68941.00,2612.00,false,0.47,"Christopher Lee","2026-08-15",39,"System processing delay","High","2026-09-08 22:19:51.793"
"CLM-00112","POL-00246","CUST-00071","2026-05-27","Liability","Denied",17768.00,,false,0.31,"Sarah Johnson","2026-08-13",22,"Missing documentation","Medium","2026-09-08 22:19:51.793"
"CLM-00113","POL-00194","CUST-00190","2026-06-30","Natural Disaster","Escalated",34310.00,,true,0.69,"Michael Chen",,,"Adjuster backlog","Low","2026-09-08 22:19:51.793"
"CLM-00114","POL-00158","CUST-00045","2026-06-10","Accident","Open",70436.00,,false,0.13,"Emily Rodriguez",,,"Third-party delay","High","2026-09-08 22:19:51.793"
"CLM-00115","POL-00247","CUST-00179","2026-09-03","Theft","Under Investigation",15444.00,,false,0.06,"David Kim",,,"Policy verification pending","Medium","2026-09-08 22:19:51.793"
"CLM-00116","POL-00253","CUST-00172","2025-10-22","Medical","Approved",61890.00,15540.00,false,0.22,"Jessica Williams","2026-09-05",15,"Medical records awaited","Low","2026-09-08 22:19:51.793"
"CLM-00117","POL-00186","CUST-00192","2026-07-21","Property Damage","Closed",26152.00,6939.00,false,0.13,"Robert Taylor","2026-08-15",43,"Investigation required","High","2026-09-08 22:19:51.793"
"CLM-00118","POL-00157","CUST-00055","2026-01-29","Liability","Denied",47474.00,,false,0.55,"Amanda Martinez","2026-08-15",21,"Customer unresponsive","Medium","2026-09-08 22:19:51.793"
"CLM-00119","POL-00270","CUST-00114","2026-01-28","Natural Disaster","Escalated",59068.00,,false,0.29,"Christopher Lee",,,"System processing delay","Low","2026-09-08 22:19:51.793"
"CLM-00120","POL-00209","CUST-00084","2025-10-07","Accident","Open",61190.00,,false,0.37,"Sarah Johnson",,,"Missing documentation","High","2026-09-08 22:19:51.793"
"CLM-00121","POL-00255","CUST-00168","2026-08-27","Theft","Under Investigation",5838.00,,false,0.03,"Michael Chen",,,"Adjuster backlog","Medium","2026-09-08 22:19:51.793"
"CLM-00122","POL-00226","CUST-00127","2026-04-26","Medical","Approved",33723.00,41383.00,false,0.42,"Emily Rodriguez","2026-08-17",14,"Third-party delay","Low","2026-09-08 22:19:51.793"
"CLM-00123","POL-00290","CUST-00008","2025-11-17","Property Damage","Closed",23390.00,30352.00,false,0.25,"David Kim","2026-09-07",43,"Policy verification pending","High","2026-09-08 22:19:51.793"
"CLM-00124","POL-00179","CUST-00147","2025-09-26","Liability","Denied",42468.00,,false,0.35,"Jessica Williams","2026-08-17",10,"Medical records awaited","Medium","2026-09-08 22:19:51.793"
"CLM-00125","POL-00221","CUST-00149","2025-11-12","Natural Disaster","Escalated",7170.00,,false,0.07,"Robert Taylor",,,"Investigation required","Low","2026-09-08 22:19:51.793"
"CLM-00126","POL-00224","CUST-00066","2026-04-26","Accident","Open",16012.00,,false,0.52,"Amanda Martinez",,,"Customer unresponsive","High","2026-09-08 22:19:51.793"
"CLM-00127","POL-00182","CUST-00092","2026-02-27","Theft","Under Investigation",70376.00,,false,0.39,"Christopher Lee",,,"System processing delay","Medium","2026-09-08 22:19:51.793"
"CLM-00128","POL-00169","CUST-00196","2026-03-01","Medical","Approved",26375.00,36206.00,false,0.17,"Sarah Johnson","2026-09-03",10,"Missing documentation","Low","2026-09-08 22:19:51.793"
"CLM-00129","POL-00142","CUST-00051","2026-06-07","Property Damage","Closed",15806.00,16899.00,false,0.16,"Michael Chen","2026-08-25",6,"Adjuster backlog","High","2026-09-08 22:19:51.793"
"CLM-00130","POL-00273","CUST-00158","2026-07-19","Liability","Denied",6160.00,,false,0.14,"Emily Rodriguez","2026-08-10",37,"Third-party delay","Medium","2026-09-08 22:19:51.793"
"CLM-00131","POL-00145","CUST-00048","2025-10-12","Natural Disaster","Escalated",47953.00,,false,0.39,"David Kim",,,"Policy verification pending","Low","2026-09-08 22:19:51.793"
"CLM-00132","POL-00262","CUST-00163","2025-12-18","Accident","Open",44033.00,,false,0.38,"Jessica Williams",,,"Medical records awaited","High","2026-09-08 22:19:51.793"
"CLM-00133","POL-00199","CUST-00178","2025-10-13","Theft","Under Investigation",32594.00,,false,0.37,"Robert Taylor",,,"Investigation required","Medium","2026-09-08 22:19:51.793"
"CLM-00134","POL-00022","CUST-00069","2026-01-18","Medical","Approved",6782.00,42118.00,false,0.07,"Amanda Martinez","2026-08-19",17,"Customer unresponsive","Low","2026-09-08 22:19:51.793"
"CLM-00135","POL-00037","CUST-00112","2026-04-18","Property Damage","Closed",9302.00,23868.00,false,0.24,"Christopher Lee","2026-08-15",1,"System processing delay","High","2026-09-08 22:19:51.793"
"CLM-00136","POL-00042","CUST-00182","2026-03-10","Liability","Denied",50882.00,,false,0.38,"Sarah Johnson","2026-09-06",35,"Missing documentation","Medium","2026-09-08 22:19:51.793"
"CLM-00137","POL-00193","CUST-00103","2026-01-23","Natural Disaster","Escalated",57943.00,,false,0.43,"Michael Chen",,,"Adjuster backlog","Low","2026-09-08 22:19:51.793"
"CLM-00138","POL-00172","CUST-00158","2026-07-09","Accident","Open",46204.00,,false,0.42,"Emily Rodriguez",,,"Third-party delay","High","2026-09-08 22:19:51.793"
"CLM-00139","POL-00164","CUST-00106","2026-04-26","Theft","Under Investigation",53638.00,,false,0.13,"David Kim",,,"Policy verification pending","Medium","2026-09-08 22:19:51.793"
"CLM-00140","POL-00074","CUST-00040","2025-09-22","Medical","Approved",39075.00,39092.00,false,0.2,"Jessica Williams","2026-08-10",31,"Medical records awaited","Low","2026-09-08 22:19:51.793"
"CLM-00141","POL-00210","CUST-00199","2026-08-04","Property Damage","Closed",19891.00,26319.00,true,0.77,"Robert Taylor","2026-08-19",27,"Investigation required","High","2026-09-08 22:19:51.793"
"CLM-00142","POL-00263","CUST-00094","2026-01-03","Liability","Denied",29251.00,,false,0.54,"Amanda Martinez","2026-08-13",19,"Customer unresponsive","Medium","2026-09-08 22:19:51.793"
"CLM-00143","POL-00196","CUST-00010","2026-02-01","Natural Disaster","Escalated",36970.00,,false,0.13,"Christopher Lee",,,"System processing delay","Low","2026-09-08 22:19:51.793"
"CLM-00144","POL-00255","CUST-00049","2026-06-28","Accident","Open",10488.00,,false,0.47,"Sarah Johnson",,,"Missing documentation","High","2026-09-08 22:19:51.793"
"CLM-00145","POL-00076","CUST-00159","2026-04-26","Theft","Under Investigation",5897.00,,false,0.19,"Michael Chen",,,"Adjuster backlog","Medium","2026-09-08 22:19:51.793"
"CLM-00146","POL-00060","CUST-00039","2026-04-13","Medical","Approved",70884.00,51949.00,false,0.27,"Emily Rodriguez","2026-08-23",17,"Third-party delay","Low","2026-09-08 22:19:51.793"
