"POLICY_ID","CUSTOMER_ID","AGENT_ID","POLICY_TYPE","POLICY_STATUS","START_DATE","END_DATE","PREMIUM_AMOUNT","COVERAGE_AMOUNT","DEDUCTIBLE","LOSS_RATIO","PLAN_TIER","PAYMENT_FREQUENCY","AUTO_RENEW","CREATED_AT"
"POL-00018","CUST-00083","AGT-0004","Life","Expired","2026-02-25","2027-09-04",5076.00,431921.00,4020.00,3,"Gold","Monthly",true,"2026-09-08 22:19:50.738"
"POL-00019","CUST-00131","AGT-0019","Home","Cancelled","2025-05-24","2027-05-02",13660.00,795094.00,4631.00,1.11,"Platinum","Quarterly",true,"2026-09-08 22:19:50.738"
"POL-00020","CUST-00142","AGT-0008","Health","Active","2024-10-08","2027-03-18",13398.00,147429.00,518.00,0.63,"Bronze","Annual",true,"2026-09-08 22:19:50.738"
"POL-00021","CUST-00131","AGT-0016","Auto","Active","2026-04-22","2026-11-23",2677.00,59223.00,3719.00,0,"Silver","Monthly",false,"2026-09-08 22:19:50.738"
"POL-00022","CUST-00124","AGT-0005","Life","Active","2025-02-17","2027-02-14",2174.00,91005.00,678.00,3,"Gold","Quarterly",false,"2026-09-08 22:19:50.738"
"POL-00023","CUST-00191","AGT-0013","Home","Expired","2026-02-16","2026-10-30",14457.00,922520.00,1337.00,0,"Platinum","Annual",false,"2026-09-08 22:19:50.738"
"POL-00024","CUST-00117","AGT-0007","Health","Cancelled","2024-11-19","2026-12-07",6794.00,122667.00,2500.00,0,"Bronze","Monthly",false,"2026-09-08 22:19:50.738"
"POL-00025","CUST-00009","AGT-0001","Auto","Active","2024-09-23","2027-09-02",13466.00,747536.00,1347.00,2.32,"Silver","Quarterly",true,"2026-09-08 22:19:50.738"
"POL-00026","CUST-00048","AGT-0008","Life","Active","2026-05-26","2026-12-20",12013.00,400413.00,1552.00,0,"Gold","Annual",false,"2026-09-08 22:19:50.738"
"POL-00027","CUST-00162","AGT-0017","Home","Active","2026-04-18","2027-07-20",10348.00,225350.00,1055.00,3,"Platinum","Monthly",false,"2026-09-08 22:19:50.738"
"POL-00028","CUST-00091","AGT-0019","Health","Expired","2025-06-22","2027-03-20",14964.00,519876.00,1247.00,3,"Bronze","Quarterly",true,"2026-09-08 22:19:50.738"
"POL-00029","CUST-00106","AGT-0018","Auto","Cancelled","2025-06-24","2027-01-31",6155.00,656656.00,4587.00,0,"Silver","Annual",false,"2026-09-08 22:19:50.738"
"POL-00030","CUST-00159","AGT-0009","Life","Active","2024-12-21","2026-11-30",11472.00,65887.00,3005.00,0,"Gold","Monthly",true,"2026-09-08 22:19:50.738"
"POL-00031","CUST-00142","AGT-0006","Home","Active","2025-10-26","2027-09-03",2365.00,119343.00,2401.00,3,"Platinum","Quarterly",true,"2026-09-08 22:19:50.738"
"POL-00032","CUST-00151","AGT-0000","Health","Active","2026-06-06","2027-01-16",12505.00,505297.00,2486.00,3,"Bronze","Annual",true,"2026-09-08 22:19:50.738"
"POL-00033","CUST-00026","AGT-0012","Auto","Expired","2025-11-19","2027-08-14",11275.00,969807.00,3560.00,3,"Silver","Monthly",false,"2026-09-08 22:19:50.738"
"POL-00034","CUST-00094","AGT-0003","Life","Cancelled","2025-01-25","2027-02-22",4201.00,922060.00,1128.00,0,"Gold","Quarterly",false,"2026-09-08 22:19:50.738"
"POL-00035","CUST-00018","AGT-0019","Home","Active","2025-03-16","2026-11-01",13041.00,133277.00,3594.00,0,"Platinum","Annual",true,"2026-09-08 22:19:50.738"
"POL-00036","CUST-00161","AGT-0016","Health","Active","2025-05-24","2026-12-29",5763.00,807341.00,4923.00,3,"Bronze","Monthly",true,"2026-09-08 22:19:50.738"
"POL-00037","CUST-00136","AGT-0008","Auto","Active","2025-02-16","2027-03-29",12120.00,380739.00,2069.00,3,"Silver","Quarterly",false,"2026-09-08 22:19:50.738"
"POL-00038","CUST-00087","AGT-0012","Life","Expired","2026-04-22","2027-05-20",11344.00,580855.00,3775.00,0,"Gold","Annual",true,"2026-09-08 22:19:50.738"
"POL-00039","CUST-00097","AGT-0003","Home","Cancelled","2024-12-26","2027-01-11",6237.00,710438.00,2900.00,0,"Platinum","Monthly",false,"2026-09-08 22:19:50.738"
"POL-00040","CUST-00090","AGT-0017","Health","Active","2024-11-28","2027-02-02",10099.00,661309.00,3116.00,0,"Bronze","Quarterly",false,"2026-09-08 22:19:50.738"
"POL-00041","CUST-00034","AGT-0012","Auto","Active","2026-02-28","2026-10-30",853.00,285802.00,2318.00,3,"Silver","Annual",true,"2026-09-08 22:19:50.738"
"POL-00042","CUST-00091","AGT-0009","Life","Active","2025-05-06","2027-03-28",7139.00,197452.00,620.00,3,"Gold","Monthly",true,"2026-09-08 22:19:50.738"
"POL-00043","CUST-00005","AGT-0002","Home","Expired","2025-01-23","2027-05-06",3716.00,368091.00,4837.00,0,"Platinum","Quarterly",true,"2026-09-08 22:19:50.738"
"POL-00044","CUST-00134","AGT-0006","Health","Cancelled","2025-04-25","2027-05-18",12787.00,998349.00,1114.00,0,"Bronze","Annual",true,"2026-09-08 22:19:50.738"
"POL-00045","CUST-00160","AGT-0008","Auto","Active","2025-03-07","2027-09-07",9069.00,170111.00,2024.00,3,"Silver","Monthly",true,"2026-09-08 22:19:50.738"
"POL-00046","CUST-00083","AGT-0019","Life","Active","2025-06-16","2027-04-29",3152.00,706234.00,4703.00,0,"Gold","Quarterly",true,"2026-09-08 22:19:50.738"
"POL-00047","CUST-00113","AGT-0009","Home","Active","2025-11-21","2026-12-15",11548.00,971683.00,372.00,0,"Platinum","Annual",false,"2026-09-08 22:19:50.738"
"POL-00048","CUST-00025","AGT-0013","Health","Expired","2026-02-21","2027-05-12",13829.00,597262.00,4548.00,0,"Bronze","Monthly",true,"2026-09-08 22:19:50.738"
"POL-00049","CUST-00016","AGT-0006","Auto","Cancelled","2026-04-10","2026-12-24",7232.00,543056.00,1331.00,0,"Silver","Quarterly",true,"2026-09-08 22:19:50.738"
"POL-00050","CUST-00045","AGT-0007","Life","Active","2025-10-22","2027-02-25",2773.00,605907.00,3229.00,0,"Gold","Annual",true,"2026-09-08 22:19:50.738"
"POL-00051","CUST-00185","AGT-0009","Home","Active","2026-03-19","2027-08-15",1129.00,83573.00,3142.00,0,"Platinum","Monthly",false,"2026-09-08 22:19:50.738"
"POL-00052","CUST-00069","AGT-0002","Health","Active","2025-09-15","2027-08-05",8298.00,94516.00,4970.00,0,"Bronze","Quarterly",true,"2026-09-08 22:19:50.738"
"POL-00053","CUST-00163","AGT-0002","Auto","Expired","2024-12-25","2026-12-27",2667.00,407073.00,1109.00,0,"Silver","Annual",false,"2026-09-08 22:19:50.738"
"POL-00054","CUST-00193","AGT-0001","Life","Cancelled","2025-06-19","2026-12-01",13498.00,690771.00,4399.00,0,"Gold","Monthly",false,"2026-09-08 22:19:50.738"
"POL-00055","CUST-00197","AGT-0010","Home","Active","2025-09-15","2027-08-30",11521.00,913797.00,1413.00,3,"Platinum","Quarterly",true,"2026-09-08 22:19:50.738"
"POL-00056","CUST-00129","AGT-0012","Health","Active","2025-05-15","2027-07-10",729.00,397041.00,925.00,3,"Bronze","Annual",true,"2026-09-08 22:19:50.738"
"POL-00057","CUST-00193","AGT-0016","Auto","Active","2026-05-07","2026-10-15",1939.00,876120.00,2169.00,3,"Silver","Monthly",false,"2026-09-08 22:19:50.738"
"POL-00058","CUST-00143","AGT-0016","Life","Expired","2025-08-29","2026-12-11",8395.00,798341.00,1995.00,0,"Gold","Quarterly",false,"2026-09-08 22:19:50.738"
"POL-00059","CUST-00158","AGT-0003","Home","Cancelled","2025-01-29","2027-02-22",8119.00,106274.00,3494.00,0,"Platinum","Annual",true,"2026-09-08 22:19:50.738"
"POL-00060","CUST-00078","AGT-0004","Health","Active","2024-11-03","2026-12-06",14638.00,582176.00,318.00,3,"Bronze","Monthly",false,"2026-09-08 22:19:50.738"
"POL-00061","CUST-00086","AGT-0006","Auto","Active","2025-03-14","2027-05-01",4729.00,341990.00,2105.00,3,"Silver","Quarterly",false,"2026-09-08 22:19:50.738"
"POL-00062","CUST-00128","AGT-0007","Life","Active","2025-10-21","2026-11-03",12672.00,719598.00,4288.00,0,"Gold","Annual",true,"2026-09-08 22:19:50.738"
"POL-00063","CUST-00032","AGT-0008","Home","Expired","2026-03-06","2027-03-19",3796.00,881026.00,3318.00,0,"Platinum","Monthly",true,"2026-09-08 22:19:50.738"
"POL-00064","CUST-00060","AGT-0011","Health","Cancelled","2026-05-31","2027-07-21",919.00,159604.00,2433.00,0,"Bronze","Quarterly",true,"2026-09-08 22:19:50.738"
"POL-00065","CUST-00172","AGT-0001","Auto","Active","2026-02-19","2027-06-13",2583.00,447654.00,845.00,0,"Silver","Annual",false,"2026-09-08 22:19:50.738"
"POL-00066","CUST-00111","AGT-0018","Life","Active","2024-10-26","2027-05-11",5332.00,400695.00,873.00,0,"Gold","Monthly",false,"2026-09-08 22:19:50.738"
"POL-00067","CUST-00039","AGT-0003","Home","Active","2025-01-17","2027-05-17",1752.00,253371.00,4127.00,0,"Platinum","Quarterly",false,"2026-09-08 22:19:50.738"
"POL-00068","CUST-00139","AGT-0000","Health","Expired","2024-10-18","2026-12-26",3597.00,657177.00,4864.00,0,"Bronze","Annual",true,"2026-09-08 22:19:50.738"
"POL-00069","CUST-00196","AGT-0003","Auto","Cancelled","2026-04-27","2027-07-19",8528.00,94495.00,1987.00,0,"Silver","Monthly",false,"2026-09-08 22:19:50.738"
"POL-00070","CUST-00134","AGT-0001","Life","Active","2026-06-14","2026-10-20",2613.00,178757.00,3963.00,3,"Gold","Quarterly",false,"2026-09-08 22:19:50.738"
"POL-00071","CUST-00149","AGT-0019","Home","Active","2025-06-13","2027-01-14",953.00,272882.00,2941.00,0,"Platinum","Annual",true,"2026-09-08 22:19:50.738"
"POL-00072","CUST-00162","AGT-0017","Health","Active","2024-09-29","2026-12-15",14298.00,717422.00,1425.00,0.51,"Bronze","Monthly",false,"2026-09-08 22:19:50.738"
"POL-00073","CUST-00122","AGT-0015","Auto","Expired","2026-01-27","2027-05-24",3080.00,131893.00,2633.00,0,"Silver","Quarterly",true,"2026-09-08 22:19:50.738"
"POL-00074","CUST-00126","AGT-0018","Life","Cancelled","2026-05-19","2027-06-01",10958.00,116318.00,2001.00,3,"Gold","Annual",false,"2026-09-08 22:19:50.738"
"POL-00075","CUST-00066","AGT-0000","Home","Active","2025-01-28","2027-06-15",10556.00,573569.00,4762.00,0,"Platinum","Monthly",false,"2026-09-08 22:19:50.738"
"POL-00076","CUST-00024","AGT-0019","Health","Active","2025-11-16","2027-02-05",13364.00,845005.00,4754.00,1.62,"Bronze","Quarterly",false,"2026-09-08 22:19:50.738"
"POL-00077","CUST-00079","AGT-0018","Auto","Active","2026-01-05","2027-01-08",14644.00,575611.00,4966.00,0,"Silver","Annual",false,"2026-09-08 22:19:50.738"
"POL-00078","CUST-00076","AGT-0018","Life","Expired","2024-10-07","2027-06-15",8009.00,396751.00,4419.00,0,"Gold","Monthly",true,"2026-09-08 22:19:50.738"
"POL-00079","CUST-00011","AGT-0007","Home","Cancelled","2026-03-13","2027-09-03",9216.00,742720.00,362.00,0,"Platinum","Quarterly",true,"2026-09-08 22:19:50.738"
"POL-00080","CUST-00066","AGT-0004","Health","Active","2025-09-15","2027-08-02",3129.00,297638.00,3348.00,0,"Bronze","Annual",true,"2026-09-08 22:19:50.738"
"POL-00081","CUST-00142","AGT-0009","Auto","Active","2025-04-04","2027-08-17",1943.00,197945.00,2066.00,0,"Silver","Monthly",false,"2026-09-08 22:19:50.738"
"POL-00082","CUST-00012","AGT-0012","Life","Active","2025-01-06","2027-01-23",10826.00,287410.00,3706.00,0,"Gold","Quarterly",false,"2026-09-08 22:19:50.738"
"POL-00083","CUST-00104","AGT-0015","Home","Expired","2026-07-30","2027-03-12",11469.00,236600.00,2191.00,0,"Platinum","Annual",true,"2026-09-08 22:19:50.738"
"POL-00084","CUST-00179","AGT-0007","Health","Cancelled","2026-07-16","2027-04-08",2011.00,452840.00,4781.00,0,"Bronze","Monthly",false,"2026-09-08 22:19:50.738"
"POL-00085","CUST-00040","AGT-0009","Auto","Active","2025-12-23","2027-02-20",737.00,180628.00,2295.00,0,"Silver","Quarterly",false,"2026-09-08 22:19:50.738"
"POL-00086","CUST-00198","AGT-0002","Life","Active","2026-02-25","2027-06-16",10526.00,302487.00,2304.00,0,"Gold","Annual",false,"2026-09-08 22:19:50.738"
"POL-00087","CUST-00150","AGT-0007","Home","Active","2026-02-12","2027-04-03",10784.00,79847.00,1233.00,2.23,"Platinum","Monthly",false,"2026-09-08 22:19:50.738"
"POL-00088","CUST-00031","AGT-0015","Health","Expired","2025-05-13","2026-12-19",910.00,81011.00,3164.00,0,"Bronze","Quarterly",true,"2026-09-08 22:19:50.738"
"POL-00089","CUST-00084","AGT-0008","Auto","Cancelled","2025-04-18","2026-10-16",9197.00,278131.00,1563.00,0,"Silver","Annual",true,"2026-09-08 22:19:50.738"
"POL-00090","CUST-00132","AGT-0009","Life","Active","2025-07-11","2026-12-06",13984.00,882939.00,2818.00,0.08,"Gold","Monthly",false,"2026-09-08 22:19:50.738"
"POL-00091","CUST-00128","AGT-0005","Home","Active","2024-12-21","2027-03-10",5069.00,365884.00,292.00,3,"Platinum","Quarterly",false,"2026-09-08 22:19:50.738"
"POL-00092","CUST-00079","AGT-0011","Health","Active","2025-04-08","2027-04-24",1948.00,828872.00,3070.00,0,"Bronze","Annual",true,"2026-09-08 22:19:50.738"
"POL-00093","CUST-00125","AGT-0019","Auto","Expired","2026-02-25","2027-08-25",3352.00,479877.00,357.00,3,"Silver","Monthly",false,"2026-09-08 22:19:50.738"
"POL-00094","CUST-00154","AGT-0004","Life","Cancelled","2025-04-02","2027-05-30",5565.00,611969.00,4705.00,0,"Gold","Quarterly",false,"2026-09-08 22:19:50.738"
"POL-00095","CUST-00129","AGT-0000","Home","Active","2025-07-05","2027-08-21",9324.00,367020.00,3132.00,3,"Platinum","Annual",true,"2026-09-08 22:19:50.738"
"POL-00096","CUST-00047","AGT-0016","Health","Active","2025-06-02","2027-01-30",791.00,217085.00,3508.00,3,"Bronze","Monthly",true,"2026-09-08 22:19:50.738"
"POL-00097","CUST-00129","AGT-0011","Auto","Active","2026-03-22","2027-09-01",14857.00,552733.00,305.00,0,"Silver","Quarterly",true,"2026-09-08 22:19:50.738"
"POL-00098","CUST-00191","AGT-0005","Life","Expired","2026-03-16","2027-03-09",12605.00,884259.00,1889.00,0,"Gold","Annual",false,"2026-09-08 22:19:50.738"
"POL-00099","CUST-00129","AGT-0017","Home","Cancelled","2025-03-09","2027-09-01",3547.00,633959.00,2290.00,0,"Platinum","Monthly",false,"2026-09-08 22:19:50.738"
"POL-00100","CUST-00035","AGT-0008","Health","Active","2026-04-29","2027-04-21",8731.00,829921.00,548.00,0,"Bronze","Quarterly",false,"2026-09-08 22:19:50.738"
"POL-00101","CUST-00097","AGT-0011","Auto","Active","2025-08-08","2026-11-07",1795.00,817597.00,2630.00,0,"Silver","Annual",false,"2026-09-08 22:19:50.738"
"POL-00102","CUST-00077","AGT-0004","Life","Active","2025-04-15","2027-08-17",3447.00,438393.00,2386.00,0,"Gold","Monthly",true,"2026-09-08 22:19:50.738"
"POL-00103","CUST-00092","AGT-0019","Home","Expired","2025-08-05","2026-11-05",13312.00,151868.00,854.00,0,"Platinum","Quarterly",true,"2026-09-08 22:19:50.738"
"POL-00104","CUST-00013","AGT-0011","Health","Cancelled","2026-03-17","2026-10-24",7586.00,695085.00,3007.00,0,"Bronze","Annual",false,"2026-09-08 22:19:50.738"
"POL-00105","CUST-00097","AGT-0007","Auto","Active","2026-04-25","2026-10-21",1242.00,269449.00,2039.00,0,"Silver","Monthly",false,"2026-09-08 22:19:50.738"
"POL-00106","CUST-00154","AGT-0007","Life","Active","2024-09-20","2027-08-23",4372.00,116361.00,4420.00,0,"Gold","Quarterly",false,"2026-09-08 22:19:50.738"
"POL-00107","CUST-00051","AGT-0017","Home","Active","2025-09-07","2027-06-29",1112.00,344707.00,710.00,0,"Platinum","Annual",true,"2026-09-08 22:19:50.738"
"POL-00108","CUST-00071","AGT-0002","Health","Expired","2026-04-16","2027-04-06",7680.00,399399.00,4607.00,0,"Bronze","Monthly",false,"2026-09-08 22:19:50.738"
"POL-00109","CUST-00149","AGT-0007","Auto","Cancelled","2025-05-21","2027-06-30",5811.00,487528.00,4161.00,0.18,"Silver","Quarterly",true,"2026-09-08 22:19:50.738"
"POL-00110","CUST-00180","AGT-0017","Life","Active","2026-05-20","2027-06-17",9721.00,72843.00,1488.00,0,"Gold","Annual",true,"2026-09-08 22:19:50.738"
"POL-00111","CUST-00035","AGT-0008","Home","Active","2024-12-11","2027-06-01",978.00,161235.00,1794.00,0,"Platinum","Monthly",false,"2026-09-08 22:19:50.738"
"POL-00112","CUST-00133","AGT-0017","Health","Active","2025-03-15","2027-02-22",1141.00,400573.00,1244.00,0,"Bronze","Quarterly",true,"2026-09-08 22:19:50.738"
"POL-00113","CUST-00063","AGT-0010","Auto","Expired","2024-12-17","2027-02-23",9707.00,619068.00,4465.00,0,"Silver","Annual",false,"2026-09-08 22:19:50.738"
"POL-00114","CUST-00012","AGT-0010","Life","Cancelled","2025-02-20","2026-12-08",7489.00,336834.00,3413.00,0,"Gold","Monthly",true,"2026-09-08 22:19:50.738"
"POL-00115","CUST-00175","AGT-0013","Home","Active","2025-10-24","2027-08-29",7726.00,376193.00,3539.00,0,"Platinum","Quarterly",true,"2026-09-08 22:19:50.738"
"POL-00116","CUST-00133","AGT-0008","Health","Active","2025-02-28","2026-11-21",13951.00,303533.00,3214.00,0.13,"Bronze","Annual",true,"2026-09-08 22:19:50.738"
"POL-00117","CUST-00018","AGT-0007","Auto","Active","2024-10-08","2027-05-15",7144.00,684092.00,4214.00,0,"Silver","Monthly",true,"2026-09-08 22:19:50.738"
"POL-00118","CUST-00199","AGT-0019","Life","Expired","2026-06-09","2026-11-18",7430.00,950218.00,4551.00,3,"Gold","Quarterly",true,"2026-09-08 22:19:50.738"
"POL-00119","CUST-00003","AGT-0016","Home","Cancelled","2024-11-20","2027-07-24",13146.00,63729.00,4504.00,3,"Platinum","Annual",false,"2026-09-08 22:19:50.738"
"POL-00120","CUST-00032","AGT-0017","Health","Active","2025-08-12","2027-02-06",11990.00,870014.00,1216.00,1.48,"Bronze","Monthly",false,"2026-09-08 22:19:50.738"
"POL-00121","CUST-00188","AGT-0013","Auto","Active","2025-06-16","2026-12-08",8190.00,437891.00,1401.00,0,"Silver","Quarterly",false,"2026-09-08 22:19:50.738"
"POL-00122","CUST-00165","AGT-0008","Life","Active","2025-02-01","2026-12-18",9276.00,975588.00,2983.00,0,"Gold","Annual",false,"2026-09-08 22:19:50.738"
"POL-00123","CUST-00009","AGT-0010","Home","Expired","2024-12-29","2027-06-01",8597.00,76813.00,858.00,0,"Platinum","Monthly",false,"2026-09-08 22:19:50.738"
"POL-00124","CUST-00076","AGT-0000","Health","Cancelled","2026-03-09","2027-01-08",12830.00,907131.00,2347.00,0,"Bronze","Quarterly",true,"2026-09-08 22:19:50.738"
"POL-00125","CUST-00189","AGT-0018","Auto","Active","2025-03-04","2027-02-17",8668.00,318673.00,2089.00,0.06,"Silver","Annual",true,"2026-09-08 22:19:50.738"
"POL-00126","CUST-00062","AGT-0007","Life","Active","2026-04-08","2027-08-31",3468.00,66082.00,4421.00,0,"Gold","Monthly",true,"2026-09-08 22:19:50.738"
"POL-00127","CUST-00102","AGT-0009","Home","Active","2024-09-13","2026-10-22",11665.00,515854.00,3900.00,0,"Platinum","Quarterly",false,"2026-09-08 22:19:50.738"
"POL-00128","CUST-00152","AGT-0016","Health","Expired","2026-02-28","2027-04-19",3707.00,137277.00,1394.00,0,"Bronze","Annual",false,"2026-09-08 22:19:50.738"
"POL-00129","CUST-00084","AGT-0015","Auto","Cancelled","2024-10-26","2027-02-13",14658.00,350645.00,4324.00,0,"Silver","Monthly",true,"2026-09-08 22:19:50.738"
"POL-00130","CUST-00113","AGT-0007","Life","Active","2024-10-26","2027-07-16",3733.00,683157.00,1237.00,0,"Gold","Quarterly",false,"2026-09-08 22:19:50.738"
"POL-00131","CUST-00154","AGT-0015","Home","Active","2024-09-28","2027-03-30",5174.00,264806.00,310.00,0,"Platinum","Annual",true,"2026-09-08 22:19:50.738"
"POL-00132","CUST-00059","AGT-0003","Health","Active","2024-10-24","2027-09-05",14922.00,502282.00,584.00,0,"Bronze","Monthly",false,"2026-09-08 22:19:50.738"
"POL-00133","CUST-00139","AGT-0003","Auto","Expired","2024-11-13","2027-05-17",13236.00,991775.00,4340.00,0,"Silver","Quarterly",false,"2026-09-08 22:19:50.738"
"POL-00134","CUST-00037","AGT-0004","Life","Cancelled","2025-02-19","2027-03-09",2429.00,383983.00,1296.00,1.5,"Gold","Annual",true,"2026-09-08 22:19:50.738"
"POL-00135","CUST-00163","AGT-0004","Home","Active","2024-11-25","2027-07-10",6307.00,686555.00,4351.00,3,"Platinum","Monthly",false,"2026-09-08 22:19:50.738"
"POL-00136","CUST-00150","AGT-0002","Health","Active","2024-09-16","2027-01-15",8417.00,929673.00,529.00,0,"Bronze","Quarterly",true,"2026-09-08 22:19:50.738"
"POL-00137","CUST-00044","AGT-0008","Auto","Active","2024-12-25","2027-04-18",4221.00,153770.00,1267.00,0,"Silver","Annual",true,"2026-09-08 22:19:50.738"
"POL-00138","CUST-00090","AGT-0019","Life","Expired","2026-06-27","2027-06-01",7269.00,447941.00,334.00,3,"Gold","Monthly",false,"2026-09-08 22:19:50.738"
"POL-00139","CUST-00070","AGT-0008","Home","Cancelled","2025-07-23","2027-04-04",9887.00,679855.00,4186.00,0,"Platinum","Quarterly",true,"2026-09-08 22:19:50.738"
"POL-00140","CUST-00019","AGT-0019","Health","Active","2025-07-06","2027-07-27",1473.00,563417.00,1540.00,0,"Bronze","Annual",false,"2026-09-08 22:19:50.738"
"POL-00141","CUST-00179","AGT-0008","Auto","Active","2025-04-23","2027-07-09",4824.00,260350.00,3072.00,0,"Silver","Monthly",true,"2026-09-08 22:19:50.738"
"POL-00142","CUST-00198","AGT-0009","Life","Active","2026-02-20","2027-03-16",9681.00,459475.00,303.00,3,"Gold","Quarterly",false,"2026-09-08 22:19:50.738"
"POL-00143","CUST-00193","AGT-0017","Home","Expired","2026-01-16","2026-11-24",4136.00,533878.00,1567.00,0,"Platinum","Annual",false,"2026-09-08 22:19:50.738"
"POL-00144","CUST-00092","AGT-0013","Health","Cancelled","2026-07-02","2027-04-17",2976.00,633418.00,4879.00,3,"Bronze","Monthly",true,"2026-09-08 22:19:50.738"
"POL-00145","CUST-00072","AGT-0010","Auto","Active","2025-08-16","2027-09-08",10845.00,211865.00,4660.00,0,"Silver","Quarterly",false,"2026-09-08 22:19:50.738"
"POL-00146","CUST-00075","AGT-0019","Life","Active","2024-11-12","2026-12-29",8748.00,709115.00,1914.00,0,"Gold","Annual",false,"2026-09-08 22:19:50.738"
"POL-00147","CUST-00193","AGT-0011","Home","Active","2026-07-16","2026-12-23",13933.00,678314.00,3480.00,1.59,"Platinum","Monthly",true,"2026-09-08 22:19:50.738"
"POL-00148","CUST-00134","AGT-0007","Health","Expired","2025-06-27","2027-01-25",7182.00,948232.00,4720.00,3,"Bronze","Quarterly",true,"2026-09-08 22:19:50.738"
"POL-00149","CUST-00191","AGT-0016","Auto","Cancelled","2025-09-10","2027-01-07",13051.00,667358.00,1628.00,0,"Silver","Annual",true,"2026-09-08 22:19:50.738"
"POL-00150","CUST-00122","AGT-0012","Life","Active","2025-01-02","2026-11-19",10018.00,204425.00,3313.00,0,"Gold","Monthly",false,"2026-09-08 22:19:50.738"
"POL-00151","CUST-00021","AGT-0010","Home","Active","2026-07-24","2027-02-15",6500.00,726796.00,3713.00,0,"Platinum","Quarterly",false,"2026-09-08 22:19:50.738"
"POL-00152","CUST-00064","AGT-0019","Health","Active","2024-10-11","2027-02-20",10751.00,547509.00,2650.00,0,"Bronze","Annual",false,"2026-09-08 22:19:50.738"
"POL-00153","CUST-00165","AGT-0007","Auto","Expired","2025-11-01","2027-07-04",1650.00,870377.00,3087.00,0,"Silver","Monthly",false,"2026-09-08 22:19:50.738"
